YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,Claim
2016,0.99726776,0,V,N,O,R,855.0,2,1960,0
2013,1.0,0,V,V,V,U,400.0,2,1960,0
2013,0.997260274,0,V,N,O,R,1273.0,2,1960,1
2014,1.0,0,V,N,O,R,1273.0,2,1960,0
2013,0.915068493,0,V,N,O,R,878.0,2,1900,0
2012,0.0,0,V,V,V,U,153.0,2,1980,0
2012,0.038251366,0,V,V,V,U,912.0,2,1960,0
2015,1.0,0,V,V,V,U,659.0,2,1960,1
2012,1.0,0,V,V,V,U,324.0,2,1960,0
2012,1.0,0,V,V,V,U,300.0,2,1960,0
2012,1.0,0,V,V,V,U,508.0,2,1960,0
2016,1.0,0,V,V,V,U,788.0,2,1960,0
2013,0.41369863,0,N,V,V,U,330.0,2,1960,0
2016,0.994535519,0,V,N,O,R,828.0,2,1900,0
2012,1.0,0,N,V,V,U,165.0,2,1980,0
2015,1.0,0,V,V,V,U,1022.0,2,1960,0
2015,1.0,0,V,N,O,R,1025.0,2,1975,0
2015,1.0,0,V,V,V,U,3403.0,2,1980,1
2012,0.836065574,0,V,V,V,U,762.0,2,1960,0
2013,1.0,0,N,V,V,U,4200.0,2,1960,0
2012,1.0,0,V,V,V,U,435.0,2,1960,0
2016,0.99726776,0,N,V,V,U,446.0,2,1980,0
2013,1.0,0,V,V,V,U,1486.0,2,1980,0
2012,1.0,0,V,V,V,U,938.0,2,1960,0
2012,1.0,0,V,N,O,R,900.0,2,1981,0
2014,1.0,0,V,N,O,R,900.0,2,1981,0
2016,0.99726776,0,V,N,O,R,900.0,2,1981,0
2015,1.0,0,N,V,V,U,881.0,2,1960,0
2013,1.0,0,V,V,V,U,5910.0,2,1980,0
2016,0.99726776,0,N,V,V,U,1380.0,2,1960,0
2014,1.0,1,V,N,O,R,550.0,2,1895,0
2012,0.915300546,0,V,N,O,R,400.0,2,1900,0
2013,1.0,0,V,V,V,U,524.0,2,1960,0
2015,1.0,0,V,V,V,U,524.0,2,1960,0
2015,1.0,0,N,V,V,U,920.0,2,1960,0
2013,1.0,0,V,V,V,U,810.0,2,1980,0
2014,1.0,0,V,V,V,U,810.0,2,1980,0
2016,0.75136612,1,V,N,O,R,4230.0,2,1974,0
2012,1.0,0,V,V,V,U,300.0,2,1960,1
2013,1.0,0,V,N,O,R,452.0,2,1960,0
2014,1.0,0,V,V,V,U,2775.0,2,1980,0
2014,0.167123288,0,V,V,V,U,5000.0,2,1980,0
2012,1.0,0,V,V,V,U,585.0,2,1980,0
2013,1.0,0,V,V,V,U,585.0,2,1980,0
2012,1.0,0,V,V,V,U,870.0,2,1980,0
2015,0.997260274,0,V,V,V,U,870.0,2,1980,0
2013,1.0,0,N,V,V,U,500.0,2,1960,0
2015,1.0,0,V,V,V,U,1300.0,2,1960,0
2016,1.0,0,V,V,V,U,1300.0,2,1960,0
2013,1.0,0,V,V,V,U,2400.0,2,1980,0
2014,1.0,0,V,V,V,U,1200.0,2,1960,0
2015,0.246575342,0,V,V,V,U,2115.0,2,1980,0
2013,1.0,0,V,V,V,U,5050.0,2,1960,1
2015,1.0,0,V,V,V,U,600.0,2,1960,0
2012,1.0,0,V,V,V,U,2115.0,2,1980,0
2016,0.912568306,0,N,V,V,U,173.0,2,1980,0
2012,1.0,0,V,V,V,U,799.0,2,1960,1
2013,0.128767123,0,V,V,V,U,799.0,2,1960,0
2013,0.128767123,0,V,V,V,U,480.0,2,1980,0
2014,1.0,0,V,V,V,U,2115.0,2,1980,1
2012,1.0,0,V,V,V,U,591.0,2,1960,0
2014,1.0,0,V,V,V,U,591.0,2,1960,0
2016,0.99726776,0,V,V,V,U,591.0,2,1960,0
2016,1.0,0,V,V,V,U,841.0,2,1960,1
2012,1.0,0,N,V,V,U,480.0,2,1960,0
2015,1.0,0,V,V,V,U,1557.0,2,1980,1
2013,1.0,0,V,V,V,U,1038.0,2,1960,1
2013,0.871232877,0,N,V,V,U,2166.0,2,1980,1
2012,1.0,0,V,V,V,U,251.0,2,1960,0
2012,1.0,0,N,V,V,U,1.0,1,1988,0
2015,1.0,0,V,V,V,U,8796.0,1,1980,1
2012,1.0,0,V,V,V,U,3600.0,1,1980,0
2014,0.745205479,0,V,V,V,U,3600.0,1,1980,1
2016,0.99726776,0,V,N,O,R,1760.0,1,2008,0
2014,0.769863014,0,V,N,O,R,2809.0,1,2014,0
2012,1.0,0,V,N,O,R,433.0,1,2010,0
2012,0.330601093,0,N,V,V,U,200.0,1,1980,0
2015,1.0,0,V,V,V,U,2041.0,1,1980,0
2012,1.0,0,V,V,V,U,2041.0,1,1980,1
2016,0.494535519,0,V,V,V,U,2041.0,1,1980,0
2014,1.0,0,V,V,V,U,162.0,1,1960,0
2013,1.0,0,N,V,V,U,720.0,1,1960,0
2016,1.0,0,N,V,V,U,720.0,1,1960,0
2013,1.0,0,V,N,O,R,1765.0,1,1980,0
2012,1.0,0,V,V,V,U,4600.0,1,1988,1
2015,0.997260274,0,V,V,V,U,4600.0,1,1988,0
2013,0.073972603,0,N,V,V,U,120.0,1,1960,0
2013,0.161643836,0,V,N,O,R,2700.0,1,1970,0
2013,1.0,0,V,V,V,U,11037.0,1,1980,1
2012,1.0,0,V,V,V,U,1493.0,1,1960,0
2015,1.0,0,V,V,V,U,1493.0,1,1960,0
2013,1.0,0,V,V,V,U,900.0,1,1988,1
2012,1.0,0,V,N,O,R,1865.0,1,2000,0
2013,1.0,0,N,V,V,U,855.0,1,1980,0
2016,1.0,0,V,N,O,R,1874.0,1,2015,0
2013,1.0,0,N,V,V,U,1750.0,1,1988,0
2013,1.0,0,V,N,O,R,4000.0,1,2007,0
2014,1.0,0,V,N,O,R,4000.0,1,2007,1
2014,1.0,0,V,N,O,R,3600.0,1,1973,0
2013,1.0,0,V,N,O,R,510.0,1,1980,0
2016,1.0,0,V,N,O,R,510.0,1,1980,1
2016,1.0,0,N,V,V,U,4300.0,1,1960,1
2016,1.0,0,V,N,O,R,1900.0,1,1995,0
2012,1.0,0,V,N,O,R,563.0,1,1960,0
2015,1.0,0,N,V,V,U,600.0,2,1960,0
2014,1.0,1,V,N,O,R,410.0,2,1980,0
2012,1.0,0,V,V,V,U,800.0,2,1960,1
2013,1.0,0,V,N,O,R,620.0,2,1900,0
2016,0.99726776,1,V,N,O,R,360.0,2,1900,1
2014,1.0,0,V,V,V,U,600.0,2,1980,0
2012,1.0,0,V,V,V,U,4800.0,2,1960,0
2012,1.0,0,N,V,V,U,10.0,2,1980,0
2014,1.0,0,N,V,V,U,10.0,2,1980,0
2012,1.0,0,V,V,V,U,2000.0,2,1960,0
2013,1.0,0,V,N,O,R,727.0,2,1900,0
2016,0.99726776,0,N,V,V,U,5561.0,2,1980,0
2014,1.0,1,V,N,O,R,1200.0,2,1545,0
2012,1.0,0,N,V,V,U,1156.0,2,1980,1
2013,1.0,0,V,V,V,U,528.0,2,1980,0
2012,1.0,0,V,V,V,U,437.0,2,1960,0
2012,1.0,1,N,V,V,U,2150.0,2,1988,0
2014,1.0,1,V,N,O,R,1000.0,2,1870,0
2014,1.0,1,N,V,V,U,1054.0,2,1960,0
2016,0.99726776,1,V,N,O,R,3031.0,2,1979,1
2013,1.0,0,N,V,V,U,17800.0,2,1980,0
2012,1.0,0,N,V,V,U,1833.0,2,1960,0
2012,1.0,1,V,N,O,R,1347.0,2,2009,0
2012,1.0,0,V,N,O,R,1350.0,2,1958,0
2014,1.0,0,V,N,O,R,1350.0,2,1958,0
2013,1.0,0,V,N,O,R,1300.0,2,1960,0
2012,1.0,0,V,V,V,U,590.0,2,1960,0
2013,1.0,0,V,V,V,U,420.0,2,1980,0
2012,1.0,0,N,V,V,U,2321.0,2,1980,0
2014,1.0,0,V,N,O,R,528.0,2,1950,0
2013,1.0,0,V,N,O,R,4126.0,2,2003,1
2013,1.0,0,V,N,O,R,400.0,2,1949,0
2015,1.0,0,V,V,V,U,9609.0,2,1960,0
2013,1.0,0,N,V,V,U,1700.0,2,1980,0
2016,0.99726776,0,V,V,V,U,600.0,2,1960,1
2012,1.0,0,N,V,V,U,4431.0,2,1980,1
2015,1.0,0,N,V,V,U,3200.0,2,1960,0
2012,0.915300546,0,V,N,O,R,288.0,2,1900,0
2014,1.0,0,V,N,O,R,288.0,2,1900,0
2014,1.0,0,V,N,O,R,300.0,2,1900,0
2015,0.493150685,0,V,V,V,U,7900.0,2,1960,0
2012,1.0,0,V,V,V,U,2100.0,2,1960,0
2015,1.0,0,V,V,V,U,454.0,2,1980,0
2012,1.0,0,N,V,V,U,978.0,2,1960,0
2013,1.0,0,N,V,V,U,978.0,2,1960,0
2016,0.99726776,0,V,N,O,R,3390.0,2,1971,0
2013,0.076712329,0,N,V,V,U,1090.0,2,1960,0
2016,0.0,0,V,V,V,U,2310.0,2,1960,0
2015,1.0,0,V,V,V,U,950.0,2,1980,0
2013,1.0,0,N,V,V,U,1125.0,2,1980,1
2012,1.0,0,V,N,O,R,320.0,2,1950,0
2014,1.0,0,N,V,V,U,592.0,2,1960,0
2015,1.0,0,V,N,O,R,3550.0,2,1968,0
2016,0.99726776,0,V,N,O,R,3280.0,2,1971,0
2013,1.0,0,V,N,O,R,470.0,2,1930,0
2012,0.084699454,0,V,V,V,U,550.0,2,1960,0
2013,1.0,0,V,N,O,R,11958.0,2,1960,0
2015,1.0,0,V,N,O,R,11958.0,2,1960,1
2013,1.0,0,V,N,O,R,714.0,2,1900,0
2016,1.0,0,V,N,O,R,714.0,2,1900,1
2016,0.99726776,0,V,V,V,U,1087.0,2,1960,0
2014,0.0,0,V,V,V,U,300.0,2,1960,0
2015,1.0,0,V,N,O,R,3612.0,2,1959,0
2013,1.0,0,V,V,V,U,1800.0,2,1960,0
2014,1.0,0,V,V,V,U,1800.0,2,1960,1
2012,1.0,0,V,V,V,U,2738.0,2,1960,0
2014,0.15890411,0,V,V,V,U,2738.0,2,1960,0
2013,0.142465753,0,V,V,V,U,7200.0,2,1960,0
2013,1.0,0,V,N,O,R,1050.0,2,1962,0
2016,0.967213115,0,V,N,O,R,1050.0,2,1962,0
2015,1.0,0,V,N,O,R,5300.0,2,1962,0
2012,1.0,0,V,V,V,U,1428.0,2,1980,1
2014,1.0,0,V,V,V,U,1428.0,2,1980,0
2016,1.0,0,V,V,V,U,194.0,2,1960,0
2015,0.0,0,V,V,V,U,755.0,2,1960,0
2012,1.0,0,V,V,V,U,720.0,2,1960,0
2015,1.0,0,V,V,V,U,720.0,2,1960,0
2016,1.0,0,V,V,V,U,450.0,2,1960,0
2012,1.0,0,V,V,V,U,4901.0,2,1980,1
2016,0.99726776,0,V,V,V,U,446.0,2,1960,0
2012,1.0,0,V,N,O,R,436.0,2,1900,1
2015,1.0,0,V,N,O,R,436.0,2,1900,0
2012,1.0,0,V,V,V,U,3461.0,2,1988,1
2012,0.74863388,0,N,V,V,U,2911.0,2,1960,0
2012,1.0,0,N,V,V,U,1800.0,2,1980,0
2012,1.0,0,V,V,V,U,2528.0,2,1988,0
2013,1.0,0,N,V,V,U,2886.0,2,1960,0
2012,0.418032787,0,V,N,O,R,1020.0,1,1850,1
2013,1.0,0,V,N,O,R,1020.0,1,1850,0
2016,0.99726776,0,V,N,O,R,1020.0,1,1850,0
2014,1.0,0,V,N,O,R,3737.0,1,2009,0
2014,0.246575342,0,V,N,O,R,4650.0,1,2007,0
2014,0.495890411,0,V,N,O,R,1363.0,1,1966,0
2015,1.0,0,V,N,O,R,2644.0,1,1980,1
2012,1.0,0,V,N,O,R,1730.0,1,1971,0
2014,0.747945205,0,V,N,O,R,1730.0,1,1971,0
2012,1.0,0,V,N,O,R,3786.0,1,1965,0
2012,1.0,0,V,N,O,R,499.0,1,2004,0
2013,1.0,0,V,N,O,R,468.0,1,1971,0
2014,0.747945205,0,V,N,O,R,6920.0,1,1971,0
2014,1.0,0,V,N,O,R,5555.0,1,1979,0
2016,0.99726776,0,V,N,O,R,5555.0,1,1979,0
2013,1.0,0,V,N,O,R,2292.0,1,1955,0
2012,1.0,0,V,N,O,R,1536.0,1,1998,1
2014,0.235616438,0,V,N,O,R,1536.0,1,1998,1
2012,1.0,0,V,N,O,R,5350.0,1,1978,1
2014,0.235616438,0,V,N,O,R,5350.0,1,1978,0
2013,1.0,0,V,N,O,R,2145.0,1,2012,0
2014,0.246575342,0,V,N,O,R,2145.0,1,2012,0
2013,1.0,0,V,N,O,R,8140.0,1,1983,1
2012,1.0,0,V,N,O,R,1490.0,1,1962,1
2012,1.0,0,N,V,V,U,665.0,1,1980,1
2013,1.0,0,V,N,O,R,3788.0,1,1974,0
2013,1.0,0,V,N,O,R,270.0,1,1900,0
2014,0.495890411,0,V,V,V,U,1500.0,1,1980,0
2012,1.0,0,V,N,O,R,2889.0,1,1970,1
2012,1.0,0,V,N,O,R,700.0,1,1900,0
2012,1.0,0,N,V,V,U,388.0,1,1960,0
2014,1.0,0,V,N,O,R,2470.0,1,1960,0
2013,1.0,0,V,N,O,R,978.0,1,2009,0
2013,1.0,0,N,V,V,U,4477.0,1,1988,1
2012,1.0,0,N,V,V,U,462.0,2,1960,1
2013,0.915068493,0,N,V,V,U,550.0,2,1960,0
2016,0.99726776,0,V,N,O,R,500.0,2,1950,0
2012,0.330601093,0,V,V,V,U,990.0,2,1960,0
2012,1.0,0,N,V,V,U,850.0,2,1960,0
2012,1.0,0,V,V,V,U,400.0,2,1980,0
2012,1.0,0,V,V,V,U,490.0,2,1960,0
2013,1.0,0,N,V,V,U,340.0,2,1960,0
2014,1.0,0,N,V,V,U,340.0,2,1960,0
2014,1.0,0,V,N,O,R,5885.0,2,1970,1
2016,1.0,0,V,N,O,R,5885.0,2,1970,0
2014,1.0,0,V,V,V,U,1380.0,2,1960,1
2016,1.0,0,V,N,O,R,2320.0,2,1971,1
2014,1.0,0,V,V,V,U,1020.0,2,1960,0
2015,0.832876712,0,V,N,O,R,500.0,2,1960,0
2012,1.0,0,N,V,V,U,770.0,2,1980,0
2015,1.0,0,V,N,O,R,4228.0,2,1970,1
2016,0.99726776,0,V,N,O,R,4228.0,2,1970,0
2013,0.720547945,0,V,V,V,U,400.0,2,1980,0
2016,0.99726776,0,N,V,V,U,1650.0,2,1960,0
2016,0.99726776,0,N,V,V,U,1620.0,2,1980,0
2015,1.0,0,N,V,V,U,600.0,2,1980,0
2012,1.0,0,N,V,V,U,3380.0,2,1980,0
2012,1.0,0,N,V,V,U,5018.0,2,1980,1
2013,1.0,0,V,N,O,R,4800.0,2,1974,1
2012,1.0,0,V,V,V,U,3080.0,2,1980,1
2016,1.0,0,V,V,V,U,1390.0,2,1980,0
2012,0.0,0,V,V,V,U,1340.0,2,1960,0
2015,0.0,0,V,V,V,U,1340.0,2,1960,0
2016,1.0,1,V,N,O,R,2540.0,2,1989,0
2013,1.0,0,V,N,O,R,3550.0,2,1970,0
2012,1.0,0,V,V,V,U,1165.0,2,1960,0
2013,1.0,0,V,V,V,U,1040.0,2,1960,0
2013,1.0,0,V,V,V,U,1359.0,2,1980,1
2016,0.99726776,0,V,V,V,U,1359.0,2,1980,0
2012,1.0,0,V,V,V,U,1693.0,2,1960,1
2013,0.123287671,0,V,V,V,U,1372.0,2,1960,0
2013,1.0,0,V,V,V,U,315.0,2,1960,0
2013,1.0,0,V,V,V,U,1370.0,2,1980,0
2014,1.0,0,V,V,V,U,1370.0,2,1980,0
2012,1.0,0,V,V,V,U,2349.0,2,1960,0
2012,1.0,0,V,V,V,U,1508.0,2,1960,0
2014,1.0,0,V,V,V,U,1508.0,2,1980,0
2013,1.0,0,V,V,V,U,1200.0,2,1960,0
2015,1.0,0,V,V,V,U,960.0,2,1960,0
2013,1.0,0,V,V,V,U,6959.0,2,1980,0
2014,1.0,0,V,V,V,U,6959.0,2,1980,1
2012,1.0,0,V,V,V,U,4601.0,2,1960,0
2013,1.0,0,V,V,V,U,4601.0,2,1960,0
2012,1.0,0,V,V,V,U,1232.0,2,1980,1
2012,1.0,0,V,V,V,U,909.0,2,1960,0
2016,0.99726776,0,V,V,V,U,909.0,2,1960,0
2012,1.0,0,V,V,V,U,4599.0,2,1960,0
2013,0.539726027,0,V,V,V,U,867.0,2,1980,0
2013,1.0,1,N,V,V,U,2100.0,2,1980,0
2015,1.0,0,V,N,O,R,1712.0,2,2008,0
2012,1.0,0,V,N,O,R,1990.0,2,1980,0
2013,1.0,0,V,V,V,U,600.0,2,1980,0
2014,1.0,0,V,V,V,U,1550.0,2,1980,0
2015,1.0,0,V,N,O,R,1365.0,2,1950,0
2016,0.99726776,0,V,N,O,R,730.0,2,1930,0
2013,0.665753425,0,N,V,V,U,440.0,2,1960,0
2014,1.0,0,N,V,V,U,390.0,2,1960,0
2015,1.0,0,N,V,V,U,390.0,2,1960,0
2014,1.0,1,N,V,V,U,1800.0,2,1960,0
2014,1.0,0,N,V,V,U,1600.0,2,1980,0
2013,1.0,1,N,V,V,U,300.0,2,1980,0
2013,1.0,0,V,N,O,R,963.0,2,1996,0
2013,1.0,0,V,N,O,R,988.0,2,2004,0
2014,1.0,1,V,V,V,U,4900.0,2,1980,0
2016,0.99726776,1,V,V,V,U,4900.0,2,1980,0
2012,1.0,1,N,V,V,U,1100.0,2,1988,0
2015,1.0,0,V,N,O,R,1700.0,2,1970,0
2015,1.0,0,V,N,O,R,20940.0,2,1969,1
2012,1.0,0,V,N,O,R,3000.0,2,1992,0
2012,1.0,0,V,N,O,R,7750.0,2,1980,1
2015,1.0,0,V,N,O,R,7750.0,2,1980,1
2012,1.0,0,V,N,O,R,8015.0,2,1973,1
2014,1.0,0,V,N,O,R,8015.0,2,1973,1
2015,1.0,0,V,N,O,R,6180.0,2,1982,0
2015,1.0,0,V,N,O,R,745.0,2,1984,0
2013,1.0,0,V,N,O,R,2600.0,2,1962,0
2014,1.0,0,V,N,O,R,925.0,2,1988,0
2012,0.418032787,0,V,N,O,R,340.0,2,1974,0
2012,0.25136612,0,V,N,O,R,2451.0,2,1961,0
2016,0.99726776,0,V,N,O,R,2451.0,2,1961,0
2013,1.0,0,V,N,O,R,600.0,2,1970,0
2015,1.0,0,V,N,O,R,872.0,2,1970,0
2013,0.838356164,0,V,N,O,R,970.0,2,1988,0
2013,0.131506849,0,V,N,O,R,2800.0,2,1963,0
2016,1.0,0,V,N,O,R,1000.0,2,1967,1
2016,0.0,0,V,N,O,R,11925.0,2,1970,0
2015,0.890410959,0,V,N,O,R,266.0,2,1979,0
2016,0.99726776,0,V,N,O,R,1600.0,2,1975,0
2014,1.0,0,V,N,O,R,3000.0,2,1991,1
2016,0.967213115,0,V,N,O,R,400.0,2,1900,0
2012,1.0,0,V,V,V,U,140.0,2,1980,0
2015,1.0,0,V,V,V,U,140.0,2,1980,0
2012,1.0,0,V,V,V,U,6000.0,2,1980,1
2014,1.0,0,V,N,O,R,10954.0,2,1979,1
2014,1.0,0,V,N,O,R,1300.0,2,1990,1
2013,1.0,0,V,V,V,U,150.0,2,1980,0
2014,1.0,0,V,V,V,U,150.0,2,1980,0
2012,1.0,0,V,V,V,U,550.0,2,1980,0
2013,1.0,0,V,V,V,U,550.0,2,1980,0
2016,1.0,0,V,N,O,R,440.0,2,1970,0
2013,1.0,0,V,N,O,R,265.0,2,1960,0
2014,1.0,0,V,N,O,R,3720.0,2,1980,1
2012,1.0,0,V,N,O,R,427.0,2,2003,0
2014,1.0,0,V,N,O,R,427.0,2,2003,0
2013,1.0,0,V,N,O,R,400.0,2,1980,0
2016,0.99726776,0,V,N,O,R,424.0,2,1900,0
2012,1.0,0,V,N,O,R,2500.0,2,1975,0
2013,1.0,0,V,N,O,R,1200.0,2,1974,0
2016,0.99726776,0,V,N,O,R,1200.0,2,1974,0
2013,1.0,0,V,N,O,R,600.0,2,1870,0
2015,1.0,0,V,N,O,R,660.0,2,1950,0
2016,1.0,0,V,N,O,R,368.0,2,1950,0
2016,0.99726776,0,V,N,O,R,480.0,2,1948,0
2012,0.0,0,V,V,V,U,500.0,2,1960,0
2015,1.0,0,V,N,O,R,450.0,2,1900,0
2012,1.0,0,V,V,V,U,3900.0,2,1980,0
2012,1.0,0,V,N,O,R,950.0,2,1900,0
2013,1.0,0,V,N,O,R,950.0,2,1900,0
2015,1.0,0,V,N,O,R,950.0,2,1900,1
2016,0.99726776,0,V,N,O,R,950.0,2,1900,1
2012,1.0,0,V,N,O,R,1125.0,2,1960,0
2013,0.893150685,0,V,N,O,R,1125.0,2,1960,1
2012,1.0,0,N,V,V,U,500.0,2,1980,0
2013,0.747945205,0,V,N,O,R,330.0,2,2004,0
2016,1.0,0,N,V,V,U,750.0,2,1960,0
2012,1.0,1,V,N,O,R,405.0,2,1920,0
2013,1.0,1,V,N,O,R,450.0,2,1900,0
2012,1.0,0,N,V,V,U,2712.0,2,1988,0
2013,1.0,0,N,V,V,U,2712.0,2,1988,0
2015,1.0,0,N,V,V,U,2712.0,2,1988,0
2012,1.0,1,V,N,O,R,320.0,2,2009,0
2013,0.665753425,1,V,N,O,R,5950.0,2,1992,1
2013,1.0,0,N,V,V,U,396.0,2,1980,0
2015,1.0,0,N,V,V,U,396.0,2,1980,0
2016,0.99726776,0,V,V,V,U,1475.0,2,1980,0
2013,1.0,1,V,N,O,R,1030.0,2,1985,0
2013,0.832876712,0,V,N,O,R,1702.0,2,2009,0
2014,1.0,0,V,N,O,R,566.0,2,1840,1
2016,0.99726776,1,V,N,O,R,18950.0,2,2010,1
2016,0.297814208,1,V,N,O,R,16149.0,2,2016,0
2014,1.0,1,V,N,O,R,3223.0,2,2011,0
2015,0.983561644,1,V,N,O,R,3223.0,2,2011,1
2013,1.0,1,V,N,O,R,4984.0,2,2011,1
2012,0.213114754,1,V,N,O,R,2470.0,2,2012,0
2015,0.983561644,1,V,N,O,R,2470.0,2,2012,0
2015,0.745205479,0,V,N,O,R,555.0,2,2014,0
2012,1.0,0,N,V,V,U,660.0,2,1960,0
2013,1.0,0,N,V,V,U,660.0,2,1960,0
2012,1.0,1,N,V,V,U,3183.0,2,1988,0
2012,0.833333333,1,N,V,V,U,12448.0,2,1988,1
2013,1.0,0,V,N,O,R,1950.0,2,2011,0
2015,1.0,0,V,N,O,R,1950.0,2,2011,0
2013,0.61369863,0,V,N,O,R,1194.0,2,2011,1
2016,0.99726776,0,V,N,O,R,320.0,2,1980,0
2012,1.0,1,N,V,V,U,2261.0,2,1988,1
2015,0.983561644,1,N,V,V,U,2261.0,2,1988,0
2016,0.967213115,1,N,V,V,U,7036.0,2,1988,0
2012,1.0,0,N,V,V,U,4000.0,2,1960,1
2013,1.0,0,N,V,V,U,140.0,2,1980,1
2015,0.983561644,1,V,N,O,R,6053.0,2,2008,0
2016,1.0,1,V,N,O,R,6053.0,2,2008,0
2015,1.0,1,N,V,V,U,350.0,2,1960,1
2015,1.0,0,V,N,O,R,2850.0,2,1955,0
2012,1.0,0,V,N,O,R,250.0,2,1986,0
2012,1.0,0,V,N,O,R,4100.0,2,1963,1
2014,1.0,0,V,N,O,R,4100.0,2,1963,0
2012,1.0,0,N,V,V,U,500.0,2,1960,0
2015,1.0,0,N,V,V,U,500.0,2,1960,0
2013,1.0,0,N,V,V,U,2629.0,2,1988,0
2012,0.038251366,1,V,V,V,U,160.0,2,1960,0
2015,0.747945205,0,N,V,V,U,200.0,2,1960,0
2014,1.0,1,V,N,O,R,790.0,2,1991,0
2012,1.0,0,V,N,O,R,600.0,2,1960,1
2012,1.0,0,V,N,O,R,4000.0,2,1985,1
2014,1.0,1,V,N,O,R,2918.0,2,2008,0
2016,0.99726776,1,V,N,O,R,1340.0,2,1800,1
2012,1.0,0,V,N,O,R,450.0,2,1970,0
2013,1.0,0,V,N,O,R,2300.0,2,1972,0
2014,1.0,0,V,N,O,R,2300.0,2,1972,0
2014,1.0,0,V,N,O,R,300.0,2,1900,0
2012,1.0,1,V,N,O,R,4909.0,2,2010,1
2012,0.972677596,1,V,N,O,R,220.0,2,1990,0
2013,1.0,0,V,N,O,R,8700.0,2,1995,0
2012,1.0,0,V,N,O,R,7055.0,2,1974,0
2012,0.778688525,0,V,V,V,U,110.0,2,1980,0
2012,0.352459016,0,V,N,O,R,2900.0,2,1974,0
2013,1.0,0,V,N,O,R,708.0,2,2011,0
2014,0.747945205,0,V,N,O,R,400.0,2,1700,0
2013,1.0,1,V,N,O,R,1215.0,2,1960,0
2012,1.0,1,V,N,O,R,3276.0,2,2011,0
2014,1.0,1,V,N,O,R,3276.0,2,2011,0
2015,1.0,1,V,N,O,R,3276.0,2,2011,1
2012,1.0,0,V,N,O,R,2462.0,2,2011,0
2014,1.0,0,V,N,O,R,2462.0,2,2011,0
2015,1.0,0,V,N,O,R,2462.0,2,2011,1
2012,1.0,1,V,N,O,R,1730.0,2,1984,0
2014,1.0,0,V,V,V,U,850.0,2,1960,1
2012,0.754098361,1,V,N,O,R,650.0,2,1989,0
2016,1.0,1,V,N,O,R,650.0,2,1989,1
2012,0.584699454,0,V,N,O,R,550.0,2,1970,0
2014,1.0,0,V,N,O,R,550.0,2,1970,0
2013,1.0,1,V,N,O,R,1283.0,2,1973,0
2012,0.93715847,0,V,V,V,U,510.0,2,1960,0
2014,1.0,1,V,N,O,R,2200.0,2,1988,0
2015,1.0,1,V,N,O,R,2200.0,2,1988,0
2013,1.0,0,N,V,V,U,655.0,2,1960,0
2014,1.0,0,V,N,O,R,720.0,2,1950,0
2016,0.99726776,0,V,N,O,R,720.0,2,1950,0
2013,0.084931507,0,V,N,O,R,2500.0,2,2000,0
2015,1.0,0,V,N,O,R,2500.0,2,2000,1
2016,0.99726776,0,V,N,O,R,573.0,2,1930,1
2015,0.084931507,0,V,N,O,R,934.0,2,1992,0
2016,0.99726776,1,V,N,O,R,2125.0,2,1920,0
2016,0.713114754,1,V,N,O,R,615.0,2,1970,0
2016,0.0,0,V,N,O,R,450.0,2,1930,0
2013,1.0,0,N,V,V,U,134.0,2,1960,0
2015,1.0,0,N,V,V,U,134.0,2,1960,1
2012,0.0,0,V,V,V,U,1075.0,2,1960,0
2012,1.0,0,V,V,V,U,320.0,2,1980,0
2016,1.0,0,V,V,V,U,320.0,2,1980,0
2013,1.0,0,V,V,V,U,1700.0,2,1980,1
2014,1.0,0,V,V,V,U,1700.0,2,1980,0
2012,1.0,0,V,V,V,U,780.0,2,1960,0
2014,1.0,0,V,V,V,U,1600.0,2,1960,1
2012,1.0,0,V,V,V,U,750.0,2,1960,0
2013,0.495890411,0,V,V,V,U,750.0,2,1960,1
2013,1.0,0,V,N,O,R,1700.0,2,1980,0
2015,1.0,0,V,N,O,R,1700.0,2,1980,0
2014,1.0,0,N,V,V,U,200.0,2,1960,0
2014,1.0,0,V,N,O,R,1260.0,2,1985,0
2015,1.0,0,N,V,V,U,349.0,2,1960,0
2012,1.0,0,V,V,V,U,442.0,2,1960,0
2014,1.0,0,V,V,V,U,442.0,2,1960,0
2012,1.0,1,V,N,O,R,676.0,2,1718,0
2014,1.0,1,V,N,O,R,676.0,2,1718,0
2015,1.0,0,V,N,O,R,1100.0,2,1975,0
2015,1.0,0,V,V,V,U,120.0,2,1960,0
2015,1.0,1,N,V,V,U,545.0,2,1960,0
2014,1.0,1,N,V,V,U,400.0,2,1960,0
2013,0.509589041,1,V,N,O,R,1142.0,2,1995,0
2013,0.150684932,0,V,V,V,U,8900.0,2,1960,1
2013,1.0,0,N,V,V,U,3195.0,2,1960,1
2014,1.0,1,V,N,O,R,1000.0,2,1900,1
2012,1.0,0,V,N,O,R,2000.0,2,1985,1
2014,1.0,0,V,N,O,R,2400.0,2,1985,0
2012,1.0,1,N,V,V,U,1941.0,2,1980,1
2015,1.0,0,V,N,O,R,1253.0,2,1985,1
2016,0.99726776,0,V,N,O,R,1253.0,2,1985,0
